13RENTAL-041,I3,DESKTOP,,2013-04-03,FORTRESS ATX,DESKTOP CASING,FORTRESS 700W PSU, POWER SUPPLY,INTEL CORE I3 2120 3.30 GHZ,PROCESSOR,ASUS P8H61-MLX3 PLUS M/B,MOTHERBOARD,WESTERN DIGITAL 500GB HDD SATA,HDD,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,,,LITEON DRIVE,DVDRW SATA,,
13RENTAL-042,I3,DESKTOP,,2013-04-03,ORION ATX,DESKTOP CASING,ORION 600W PSU, POWER SUPPLY,INTEL CORE I3 2120 3.30 GHZ,PROCESSOR,ASUS P8H61-MLX3 PLUS M/B,MOTHERBOARD,WESTERN DIGITAL 500GB HDD SATA,HDD,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,,,LITEON DRIVE,DVDRW SATA,,
13RENTAL-043,I3,DESKTOP,,2013-04-03,FORTRESS ATX,DESKTOP CASING,FORTRESS 700W PSU, POWER SUPPLY,INTEL CORE I3 2120 3.30 GHZ,PROCESSOR,ASUS P8H61-MLX3 PLUS M/B,MOTHERBOARD,WESTERN DIGITAL 500GB HDD SATA,HDD,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,,,LITEON DRIVE,DVDRW SATA,,
13RENTAL-044,I3,DESKTOP,,2013-04-03,FORTRESS ATX,DESKTOP CASING,FORTRESS 700W PSU, POWER SUPPLY,INTEL CORE I3 2120 3.30 GHZ,PROCESSOR,ASUS P8H61-MLX3 PLUS R2.0 M/B,MOTHERBOARD,WESTERN DIGITAL 500GB HDD SATA,HDD,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,,,SAMSUNG DRIVE,DVDRW SATA,,
13RENTAL-045,I3,DESKTOP,,2013-04-03,ORION ATX,DESKTOP CASING,ORION 500W PSU, POWER SUPPLY,INTEL CORE I3 2120 3.30 GHZ,PROCESSOR,ASUS P8H61-MLX3 PLUS M/B,MOTHERBOARD,WESTERN DIGITAL 500GB HDD SATA,HDD,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,,,LITEON DRIVE,DVDRW SATA,,
13RENTAL-046,I3,DESKTOP,,2013-04-03,FORTRESS ATX,DESKTOP CASING,FORTRESS 700W PSU, POWER SUPPLY,INTEL CORE I3 2120 3.30 GHZ,PROCESSOR,ASUS P8H61-MLX3 PLUS M/B,MOTHERBOARD,WESTERN DIGITAL 500GB HDD SATA,HDD,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,,,LITEON DRIVE,DVDRW SATA,,
13RENTAL-047,I3,DESKTOP,,2013-04-03,ORION ATX,DESKTOP CASING,ORION 500W PSU, POWER SUPPLY,INTEL CORE I3 2120 3.30 GHZ,PROCESSOR,ASUS P8H61-MLX3 PLUS M/B,MOTHERBOARD,WESTERN DIGITAL 500GB HDD SATA,HDD,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,,,LITEON DRIVE,DVDRW SATA,,
13RENTAL-048,I5,DESKTOP,WIN 10 PRO ,2013-04-03,FORTRESS ATX,DESKTOP CASING,FORTRESS 700W PSU, POWER SUPPLY,INTEL CORE I5 3550 3.30 GHZ,PROCESSOR,ASUS P8H61-MLX3 PLUS M/B,MOTHERBOARD,SEAGATE 250GB HDD SATA,HDD,SEITEC 4GB PC1333 DDR3 MEMORY,MEMORY,,,SAMSUNG DRIVE,DVDRW SATA,,
13RENTAL-049,I5,DESKTOP,,2013-07-10,FORTRESS ATX,DESKTOP CASING,FORTRESS 700W PSU, POWER SUPPLY,INTEL CORE I5 3570 3.40 GHZ,PROCESSOR,ASUS P8H61-MLX3 PLUS R2.0 M/B,MOTHERBOARD,TOSHIBA 500GB HDD SATA,HDD,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,,,ASUS DRIVE,DVDRW SATA,,
13RENTAL-050,I5,DESKTOP,WIN 8.1 PRO,2013-07-10,FORTRESS ATX,DESKTOP CASING,FORTRESS 700W PSU, POWER SUPPLY,INTEL CORE I5 3570 3.40 GHZ,PROCESSOR,ASUS P8H61-MLX3 PLUS R2.0 M/B,MOTHERBOARD,TOSHIBA 500GB HDD SATA,HDD,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,,,ASUS DRIVE,DVDRW SATA,,
13RENTAL-051,I3,DESKTOP,WIN 7 PRO,2013-04-03,FORTRESS ATX,DESKTOP CASING,FORTRESS 700W PSU, POWER SUPPLY,INTEL CORE I3 2100 3.10 GHZ,PROCESSOR,INTEL DH61WW M/B,MOTHERBOARD,SEAGATE 500GB HDD SATA,HDD,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,,,LITEON DRIVE,DVDRW SATA,,
13RENTAL-052,I3,DESKTOP,,2013-04-03,FORTRESS ATX,DESKTOP CASING,FORTRESS 700W PSU, POWER SUPPLY,INTEL CORE I3 2100 3.10 GHZ,PROCESSOR,INTEL DH61WW M/B,MOTHERBOARD,SEAGATE 500GB HDD SATA,HDD,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,,,LITEON DRIVE,DVDRW SATA,,
13RENTAL-053,I3,DESKTOP,WIN 7 PRO,2013-04-03,FORTRESS ATX,DESKTOP CASING,FORTRESS 700W PSU, POWER SUPPLY,INTEL CORE I3 2100 3.10 GHZ,PROCESSOR,INTEL DH61WW M/B,MOTHERBOARD,SEAGATE 500GB HDD SATA,HDD,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,,,LITEON DRIVE,DVDRW SATA,,
13RENTAL-054,I3,DESKTOP,WIN 7 PRO,2013-04-03,FORTRESS ATX,DESKTOP CASING,FORTRESS 700W PSU, POWER SUPPLY,INTEL CORE I3 2100 3.10 GHZ,PROCESSOR,INTEL DH61WW M/B,MOTHERBOARD,SEAGATE 320GB HDD SATA,HDD,APACER 2GB PC1333 DDR3 MEMORY,MEMORY,,,IBM DRIVE,DVDRW SATA,,
13RENTAL-055,I3,DESKTOP,WIN 7 PRO,2013-04-03,FORTRESS ATX,DESKTOP CASING,FORTRESS 700W PSU, POWER SUPPLY,INTEL CORE I3 2100 3.10 GHZ,PROCESSOR,INTEL DH61WW M/B,MOTHERBOARD,SEAGATE 500GB HDD SATA,HDD,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,,,IBM DRIVE,DVDRW SATA,,
